IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
380150000;23410;720,0360988;158,32613;556,6270579;135,9797172;35,09723216;9,996991983;25,32668493;166;-1,382075843;1,407620296;1,603784435;1;2247;2006;2405;2153;2293;5;2220,8;150,4699306;0,067754832;oui
380170000;24810;593,6640292;91,70419963;506,7863664;130,3164942;38,61229458;0;28,22580645;203;-1,306420206;1,747952965;1,846457826;1;2376;2119;1997;2419;3135;5;2409,2;442,1845768;0,183540004;oui
380190000;23330;575;125;445;120;35;10;28,94736842;170;-1,373123324;1,47568683;1,6957059;1;2363;1965;2139;2164;2360;5;2198,2;167,6266685;0,076256332;oui
380260000;24150;420,909271;84,71009076;325,9710187;80,80189525;22,11422042;16,87665088;29,16929067;525;-0,949159254;1,611819898;1,866708116;1;1902;2550;2007;2331;2041;5;2166,2;267,0593567;0,123284718;oui
380350000;23800;449,5923268;97,78773503;346,7235633;79,36236788;24,44466849;0;23,35307038;29;-2,038059186;1,441653563;1,376878316;1;1850;2118;2204;2635;2590;5;2279,4;331,3016752;0,145346001;oui
380480000;25600;415;75;335;80;20;5;25,6097561;112;-1,530022977;0,93115456;1,052814488;1;2293;2648;2164;2551;2935;5;2518,2;303,2403337;0,12041948;oui
380530101;19700;1565,719451;870,965351;670,5660733;101,009065;64,51314126;18,78321757;11,95599525;5069;-0,096606113;-0,362109583;1,878496985;2;2685;2410;2439;2834;2410;5;2555,6;193,8073786;0,075836351;oui
380530102;20560;2229,630234;942,1006824;1265,916057;242,3216282;120,7184664;55,49949845;18,95545381;7971;0,073591046;0,454688823;1,738401848;2;2535;2353;2343;2927;2781;5;2587,8;259,9176793;0,100439632;oui
380530201;20090;1454,842259;858,1286689;583,8260128;80,06637855;38,79233316;8,549049759;8,835767385;5069;-0,096606113;-0,362109583;1,933075023;2;2902;2788;3082;2825;2653;5;2850;157,9604381;0,055424715;oui
380530202;19360;1681,674004;706,5882074;941,9670312;173,4813826;91,80145491;37,99339386;18,39648586;5069;-0,096606113;0,284522489;1,98341029;2;1743;2117;2321;2035;2252;5;2093,6;225,6674545;0,107789193;oui
380530301;20680;2096,976667;901,8650794;1161,402091;171,1681705;76,5113962;17,03678663;12,82996004;7206;0,035655377;0,522755357;1,880517581;2;2348;2575;2505;2564;3074;5;2613,2;273,0635457;0,104493933;oui
380530302;24010;1676,659808;454,0506036;1209,137908;280,7365951;110,5891408;27,01911029;25,15318277;3020;-0,291325339;0,522755357;1,915924516;2;1967;2469;2496;2919;2985;5;2567,2;410,2660113;0,159810693;oui
380530401;15040;871,3325962;323,8767642;541,9571262;143,0089458;72,54795424;37,44898314;29,22106492;3020;-0,291325339;0,556788624;1,764628905;2;1755;1536;1519;1691;1590;5;1618,2;101,7433044;0,062874369;oui
380530402;15680;769,8875617;260,5353175;504,2447204;106,8822536;68,12215045;40,77044659;28,21397526;3020;-0,291325339;0,522755357;1,790662495;2;1914;1903;1927;2081;2230;5;2011;142,2937103;0,070757688;oui
380530403;19300;940,9376767;345,6293605;588,9060659;115,0952836;53,67964968;21,12849122;20,32062339;4287;-0,159605308;0,522755357;1,676955002;2;2517;2213;2613;3125;2804;5;2654,4;338,8477534;0,127655121;oui
380640000;23420;1226,646018;284,5818763;942,0641421;245,3292037;63,78559295;19,62633629;26,8;884;-0,753247367;0,284522489;2,523859423;1;2152;2113;2065;2439;2334;5;2220,6;158,9443299;0,0715772;oui
380660000;25070;70,80924855;15,1734104;50,57803468;15,1734104;5,057803468;0;30,76923077;77;-1,67090324;1,9181193;1,555418375;1;0;0;0;0;0;0;0;0;#DIV/0!;nope
380670000;27550;652,8566839;129,7006272;532,8879117;114,2951151;28,78494177;13,69933188;23,66165117;99;-1,576412016;1,543753364;0,907640279;1;2658;2635;2572;3087;3108;5;2812;262,6242563;0,093394117;oui
380770000;23410;286,8225819;50,08303651;231,7179143;50,47052778;30,35752666;5,088802501;30,48849079;54;-1,80431184;1,986185834;2,015475262;1;2523;2007;2224;2071;2094;5;2183,8;205,3769705;0,094045687;oui
380810000;24150;755;140;605;165;40;0;27,51677852;223;-1,27109019;1,47568683;1,358521065;1;1875;2014;2497;2659;2769;5;2362,8;396,9738027;0,168009905;oui
380850000;22160;3587,103671;692,2101829;2859,823997;761,1097886;292,7886596;121,3998269;33,08803394;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
380850101;22160;729,2058021;215,6886802;503,5020987;105,8093707;95,85360672;30,32447233;32,25673307;3164;-0,273811733;1,373587029;0,787516821;1;1622;1908;1737;2212;3087;5;2113,2;587,9963435;0,278249263;oui
380850102;22160;1327,98676;280,8968858;1016,9263;236,9015143;95,9298888;50,60875034;29,54486849;3164;-0,273811733;1,339553763;0,831648998;1;2133;2378;2909;2790;3085;5;2659;392,6748018;0,147677624;oui
380850103;22160;1529,911108;195,6246169;1339,395599;418,3989036;101,0051641;40,4666042;36,47317906;260;-1,213372316;1,305520496;0,713524931;1;3759;2518;2525;2843;3098;5;2948,6;513,5837809;0,174178858;oui
380870000;21390;2366,293625;638,3365365;1738,157516;463,0229943;168,1663366;51,04757987;28,70770538;3867;-0,198372751;0,386622289;0,348592841;2;2146;2327;2525;3207;3346;5;2710,2;536,3102647;0,197885863;oui
380910000;24420;288,5430028;60,3127468;233,2975128;73,21859283;15,44339834;0;30,19717066;88;-1,620697031;1,47568683;2,546490988;1;1927;2367;2096;2224;2424;5;2207,6;202,2975531;0,09163687;oui
380970000;21730;1805,877847;407,303971;1398,573876;343,5093731;147,2183028;49,07276759;29,89130435;2375;-0,381660002;1,373587029;0,885990039;1;2439;2565;2688;2801;3213;5;2741,2;296,3835353;0,108121821;oui
